Qtde Declarantes,Instrução,Médicas,Bens e Direitos,ano,Municipio,UF,chave,Total Rend,Total Rend por declarante,Instrução por declarante,Médicas por declarante,Bens e Direitos por declarante
531,217988.25,988330.1599999999,59567048.23,2015,APIACA,ES,2015APIACAES,34271157.669999994,64540.7865725047,410.524011299435,1861.2620715630883,112178.99854990584
562,52701.42,174424.33,117270830.21,2015,APIACAS,MT,2015APIACASMT,28519221.119999997,50745.94505338078,93.77476868327402,310.3635765124555,208666.95766903914
2423,854516.36,2024917.7299999997,244258051.70999998,2015,APIAI,SP,2015APIAISP,134385703.19000003,55462.52711101941,352.6687412298803,835.7068633924886,100808.11048699959
287,139605.1,136768.74,3592205.5,2015,APICUM,MA,2015APICUMMA,9689080.16,33759.86118466899,486.42891986062716,476.5461324041812,12516.395470383275
855,164401.59,823000.14,264915638.48,2015,APIUNA,SC,2015APIUNASC,62350724.37,72924.82382456139,192.28256140350874,962.5732631578948,309842.8520233918
1654,1236063.12,1386335.8599999999,103417400.17,2015,APODI,RN,2015APODIRN,90528523.78999999,54733.0857255139,747.317484885127,838.1716203143893,62525.63492744861
405,434571.48,739588.62,17941094.119999997,2015,APORA,BA,2015APORABA,18769655.360000003,46344.82804938272,1073.016,1826.1447407407409,44298.99782716049
352,101690.31000000001,339450.1,2269140023.52,2015,APORE,GO,2015APOREGO,197251498.83,560373.5762215909,288.89292613636366,964.346875,6446420.521363636
156,69398.51,121922.37999999999,5224927.8100000005,2015,APUAREMA,BA,2015APUAREMABA,5641150.26,36161.219615384616,444.86224358974357,781.5537179487179,33493.12698717949
15967,9356226.02,21098070.400000002,4461241234.240001,2015,APUCARANA,PR,2015APUCARANAPR,1267826948.98,79402.95290160956,585.9726949332999,1321.3546940564916,279403.84757562476
347,103888.92,103731.72,9890563.24,2015,APUIARES,CE,2015APUIARESCE,10310651.250000002,29713.692363112394,299.3917002881844,298.938674351585,28503.06409221902
863,67018.93000000001,337644.99,191957304.07,2015,APUI,AM,2015APUIAM,40157990.73,46533.0135921205,77.65808806488992,391.2456431054461,222430.2480533024
753,649546.21,1363723.16,45121900.24,2015,AQUIDABA,SE,2015AQUIDABASE,37251572.879999995,49470.880318725096,862.6111686586986,1811.0533333333333,59922.84228419655
5299,4269712.8,11425936.64,783554895.08,2015,AQUIDAUANA,MS,2015AQUIDAUANAMS,358408165.2799999,67636.9438158143,805.7582185317984,2156.2439403661065,147868.44594829212
3379,2506522.82,4920986.24,431648573.33,2015,AQUIRAZ,CE,2015AQUIRAZCE,205231300.38000003,60737.28925125778,741.794264575318,1456.343959751406,127744.472722699
306,84158.06000000001,438441.47,51652234.66,2015,ARABUTA,SC,2015ARABUTASC,17872534.349999998,58406.97499999999,275.0263398692811,1432.8152614379085,168798.15248366012
121718,136393029.84,359923013.38,26061584251.859997,2015,ARACAJU,SE,2015ARACAJUSE,12167299916.039999,99963.02860743686,1120.565814752132,2957.0237218817265,214114.46336499118
3769,3095718.0900000003,5125547.369999999,241556776.19,2015,ARACATI,CE,2015ARACATICE,194556743.79,51620.25571504377,821.3632501989919,1359.9223587158394,64090.41554523746
252,89249.65999999999,231368.29,15930156.3,2015,ARACATU,BA,2015ARACATUBA,8745470.979999999,34704.24992063492,354.16531746031745,918.1281349206349,63214.905952380956
1547,1207213.06,1443611.21,35911461.43,2015,ARACI,BA,2015ARACIBA,60153321.989999995,38883.85390433096,780.3575048480931,933.1682029734972,23213.6143697479
92,24921.4,73945.7,8619452.43,2015,ARACITABA,MG,2015ARACITABAMG,4458486.8,48461.813043478265,270.8847826086957,803.7576086956523,93689.70032608695
699,325937.86000000004,332891.75,17466609.53,2015,ARACOIABA,CE,2015ARACOIABACE,28655593.189999998,40995.126165951355,466.2916452074393,476.2399856938483,24987.996466380544
12009,9016867.66,24430547.79,1942342076.02,2015,ARACRUZ,ES,2015ARACRUZES,935536580.38,77902.95448247148,750.8425064534932,2034.3532175868097,161740.5342676326
1804,2209606.4000000004,4677650.1899999995,108051181.42,2015,ARAGARCAS,GO,2015ARAGARCASGO,104246863.39,57786.50963968958,1224.8372505543239,2592.932477827051,59895.33338137472
689,257083.84,1030541.4100000001,67847187.25,2015,ARAGOIANIA,GO,2015ARAGOIANIAGO,36299816.81,52684.78492017417,373.126037735849,1495.7059651669088,98471.9698838897
191,106108.04,249599.46,10304123.16,2015,ARAGOMINAS,TO,2015ARAGOMINASTO,9053177.17,47398.83335078534,555.5394764397906,1306.8034554973822,53948.28879581152
280,64477.08000000001,508630.75,28162144.99,2015,ARAGUACEMA,TO,2015ARAGUACEMATO,15032143.45,53686.22660714285,230.27528571428573,1816.538392857143,100579.08924999999
